Club,Saison,Numero,Joueur,Nom d'usage,Nationalite,Postes,Note
Juventus,2020-2021,24,Daniele Rugani,,Italy,DC,78
Juventus,2020-2021,44,Dejan Kulusevski,,Sweden,MD|MOC|AD,78
Juventus,2020-2021,14,Weston McKennie,,USA,MC|MDC|MOC|DD,77
Juventus,2020-2021,2,Mattia De Sciglio,,Italy,DD|DG|DC,76
Juventus,2020-2021,28,Merih Demiral,,Turkey,DC,76
Juventus,2020-2021,18,Moise Kean,,Italy,BU|AG|AD,73
Juventus,2021-2022,10,Paulo Dybala,,Argentina,MOC|AG|AD|BU,87
Juventus,2021-2022,1,Wojciech Szczesny,,Poland,G,86
Juventus,2021-2022,3,Giorgio Chiellini,,Italy,DC|DG,85
Juventus,2021-2022,19,Leonardo Bonucci,,Italy,DC,85
Juventus,2021-2022,4,Matthijs de Ligt,,Netherlands,DC,85
Juventus,2021-2022,22,Federico Chiesa,,Italy,AD|AG|MD|MG,84
Juventus,2021-2022,16,Juan Cuadrado,,Colombia,AD|DD|MD,83
Juventus,2021-2022,9,Dusan Vlahovic,,Serbia,BU,83
Juventus,2021-2022,5,Manuel Locatelli,,Italy,MDC|MC,82
Juventus,2021-2022,12,Alex Sandro,,Brazil,DG|MG,81
Juventus,2021-2022,9,Alvaro Morata,,Spain,BU,81
Juventus,2021-2022,25,Adrien Rabiot,,France,MC|MDC|MG,81
Juventus,2021-2022,5,Arthur,,Brazil,MC|MDC,81
Juventus,2021-2022,2,Mattia Perin,,Italy,G,80
Juventus,2021-2022,13,Danilo,,Brazil,DD|DC|DG,80
Juventus,2021-2022,44,Dejan Kulusevski,,Sweden,MD|MOC|AD,80
Juventus,2021-2022,33,Federico Bernardeschi,,Italy,AG|AD|MOC|MG,79
Juventus,2021-2022,30,Rodrigo Bentancur,,Uruguay,MDC|MC,79
Juventus,2021-2022,18,Moise Kean,,Italy,BU|AG|AD,79
Juventus,2021-2022,14,Weston McKennie,,USA,MC|MDC|MOC|DD,78
Juventus,2021-2022,8,Aaron Ramsey,,Wales,MC|MOC|MDC,77
Juventus,2021-2022,2,Mattia De Sciglio,,Italy,DD|DG|DC,77
Juventus,2021-2022,24,Daniele Rugani,,Italy,DC,77
Juventus,2021-2022,28,Denis Zakaria,,Switzerland,MDC|DC,80
Juventus,2021-2022,21,Luca Pellegrini,,Italy,DG,74
Juventus,2021-2022,34,Federico Gatti,,Italy,DC|DD,68
Juventus,2022-2023,1,Wojciech Szczesny,,Poland,G,86
Juventus,2022-2023,22,Angel Di Maria,,Argentina,AD|AG|MD|MOC,84
Juventus,2022-2023,30,Filip Kostic,,Serbia,MG|AG,84
Juventus,2022-2023,9,Dusan Vlahovic,,Serbia,BU,84
Juventus,2022-2023,10,Paul Pogba,,France,MC|MDC|MOC,84
Juventus,2022-2023,22,Federico Chiesa,,Italy,AD|AG|MD|MG,84
Juventus,2022-2023,3,Gleison Bremer,,Brazil,DC|DD,83
Juventus,2022-2023,25,Adrien Rabiot,,France,MC|MDC|MG,82
Juventus,2022-2023,5,Manuel Locatelli,,Italy,MDC|MC,82
Juventus,2022-2023,16,Juan Cuadrado,,Colombia,AD|DD|MD,81
Juventus,2022-2023,13,Danilo,,Brazil,DD|DC|DG,81
Juventus,2022-2023,19,Leonardo Bonucci,,Italy,DC,82
Juventus,2022-2023,9,Arkadiusz Milik,,Poland,BU,81
Juventus,2022-2023,12,Alex Sandro,,Brazil,DG|MG,80
Juventus,2022-2023,36,Mattia Perin,,Italy,G,79
Juventus,2022-2023,17,Leandro Paredes,,Argentina,MDC|MC,79
Juventus,2022-2023,18,Moise Kean,,Italy,BU|AG|AD,78
Juventus,2022-2023,28,Denis Zakaria,,Switzerland,MDC|DC,80
Juventus,2022-2023,24,Daniele Rugani,,Italy,DC,75
Juventus,2022-2023,37,Fabio Miretti,,Italy,MC|MOC,75
Juventus,2022-2023,44,Nicolo Fagioli,,Italy,MC|MDC,76
Juventus,2022-2023,31,Federico Gatti,,Italy,DC|DD,76
Juventus,2022-2023,23,Samuel Iling-Junior,,England,AG,71
Juventus,2022-2023,17,Weston McKennie,,USA,MC|MDC|MOC|DD,77
Juventus,2022-2023,2,Mattia De Sciglio,,Italy,DD|DG|DC,76
Juventus,2023-2024,3,Gleison Bremer,,Brazil,DC|DD,85
Juventus,2023-2024,25,Adrien Rabiot,,France,MC|MDC|MG,84
Juventus,2023-2024,7,Federico Chiesa,,Italy,AD|AG|MD|MG,84
Juventus,2023-2024,9,Dusan Vlahovic,,Serbia,BU,84
Juventus,2023-2024,30,Filip Kostic,,Serbia,MG|AG,83
Juventus,2023-2024,73,Manuel Locatelli,,Italy,MDC|MC,82
Juventus,2023-2024,6,Danilo,,Brazil,DD|DC|DG,81
Juventus,2023-2024,36,Mattia Perin,,Italy,G,79
Juventus,2023-2024,16,Weston McKennie,,USA,MC|MDC|MOC|DD,78
Juventus,2023-2024,31,Federico Gatti,,Italy,DC|DD,78
Juventus,2023-2024,27,Andrea Cambiaso,,Italy,DG|MG|DD,77
Juventus,2023-2024,23,Arkadiusz Milik,,Poland,BU,81
Juventus,2023-2024,18,Moise Kean,,Italy,BU|AG|AD,78
Juventus,2023-2024,12,Alex Sandro,,Brazil,DG|MG,77
Juventus,2023-2024,44,Nicolo Fagioli,,Italy,MC|MDC,77
Juventus,2023-2024,2,Mattia De Sciglio,,Italy,DD|DG|DC,76
Juventus,2023-2024,24,Daniele Rugani,,Italy,DC,75
Juventus,2023-2024,37,Fabio Miretti,,Italy,MC|MOC,75
Juventus,2023-2024,21,Timothy Weah,,USA,AD|AG|MD,74
Juventus,2023-2024,24,Samuel Iling-Junior,,England,AG,73
Juventus,2023-2024,1,Wojciech Szczesny,,Poland,G,86
Juventus,2023-2024,20,Kenan Yildiz,,Turkey,AG|AD|MOC,66
Juventus,2024-2025,3,Gleison Bremer,,Brazil,DC|DD,86
Juventus,2024-2025,5,Manuel Locatelli,,Italy,MDC|MC,83
Juventus,2024-2025,8,Teun Koopmeiners,,Netherlands,MOC|MC|MDC,82
Juventus,2024-2025,29,Michele Di Gregorio,,Italy,G,81
Juventus,2024-2025,20,Randal Kolo Muani,,France,BU|MD|MOC,81
Juventus,2024-2025,19,Khephren Thuram,,France,MDC|MC,80
Juventus,2024-2025,11,Nico Gonzalez,,Argentina,AD|AG|MD,79
Juventus,2024-2025,27,Andrea Cambiaso,,Italy,DG|MG|DD,79
Juventus,2024-2025,4,Federico Gatti,,Italy,DC|DD,79
Juventus,2024-2025,10,Kenan Yildiz,,Turkey,AG|AD|MOC,76
Juventus,2024-2025,6,Lloyd Kelly,,England,DC|MDD|DG,75
Juventus,2024-2025,12,Renato Veiga,,Portugal,DC,74
Juventus,2024-2025,9,Dusan Vlahovic,,Serbia,BU,83
Juventus,2024-2025,26,Douglas Luiz,,Brazil,MC|MDC,82
Juventus,2024-2025,1,Mattia Perin,,Italy,G,79
Juventus,2024-2025,15,Pierre Kalulu,,France,DD|DC,79
Juventus,2024-2025,7,Francisco Conceicao,,Portugal,AD|MD|MOC,79
Juventus,2024-2025,16,Weston McKennie,,USA,MC|MDC|MOC|DD,78
Juventus,2024-2025,22,Timothy Weah,,USA,AD|AG|MD,76
Juventus,2024-2025,14,Arkadiusz Milik,,Poland,BU,80
Juventus,2024-2025,32,Juan Cabal,,Colombia,DD|DG|DC|MDC,75
Juventus,2025-2026,3,Gleison Bremer,,Brazil,DC|DD,86
Juventus,2025-2026,5,Manuel Locatelli,,Italy,MDC|MC,84
Juventus,2025-2026,10,Kenan Yildiz,,Turkey,AG|AD|MOC,82
Juventus,2025-2026,16,Michele Di Gregorio,,Italy,G,81
Juventus,2025-2026,30,Jonathan David,,Canada,BU|MOC,81
Juventus,2025-2026,19,Khephren Thuram,,France,MDC|MC,81
Juventus,2025-2026,15,Pierre Kalulu,,France,DD|DC,80
Juventus,2025-2026,27,Andrea Cambiaso,,Italy,DG|MG|DD,80
Juventus,2025-2026,22,Weston McKennie,,USA,MC|MDC|MOC|DD,79
Juventus,2025-2026,7,Francisco Conceicao,,Portugal,AD|MD|MOC,79
Juventus,2025-2026,6,Lloyd Kelly,,England,DC|MDD|DG,78
Juventus,2025-2026,20,Loic Openda,,Belgium,BU|MOC|MG|AG,82
Juventus,2025-2026,9,Dusan Vlahovic,,Serbia,BU,81
Juventus,2025-2026,18,Filip Kostic,,Serbia,MG|AG,80
Juventus,2025-2026,8,Teun Koopmeiners,,Netherlands,MOC|MC|MDC,80
Juventus,2025-2026,4,Federico Gatti,,Italy,DC|DD,80
Juventus,2025-2026,1,Mattia Perin,,Italy,G,78
Juventus,2025-2026,11,Edon Zhegrova,,Kosovo,AD|MD|MG,79
Juventus,2025-2026,14,Arkadiusz Milik,,Poland,BU,78
Juventus,2025-2026,17,Vasilije Adzic,,Montenegro,MOC,69
Juventus,2025-2026,21,Fabio Miretti,,Italy,MC|MOC,75
Juventus,2025-2026,32,Juan Cabal,,Colombia,DD|DG|DC|MDC,74
